Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption
2,7,26.6,11,Yes,Medium,Weekday,18.26,19.39
4,12,25.7,1,No,High,Weekday,22.64,21.72
4,18,23.7,7,Yes,Low,Weekday,12.13,15.89
4,24,15.5,5,No,Medium,Weekday,32.16,30.4
4,13,23.1,8,No,Medium,Weekday,13.39,15.69
5,10,25.3,7,No,Medium,Weekend,21.08,27.08
3,13,23.1,9,No,High,Weekday,17.35,18.13
6,21,18.6,2,Yes,Medium,Weekday,35.03,26.87
1,13,-0.7,4,No,Medium,Weekday,18.32,24.75
4,15,25.1,6,No,Low,Weekend,24.74,30.74
2,5,6.3,4,Yes,Low,Weekday,25.37,28.18
4,10,27.6,7,Yes,Low,Weekday,16.52,17.98
2,7,32.9,11,No,Low,Weekday,14.71,19.24
6,21,21.3,4,Yes,Medium,Weekday,32.15,28.92
6,16,23.3,0,No,Medium,Weekday,18.96,17.54
6,16,41.7,4,No,Medium,Weekday,33.81,40.53
2,11,37.1,3,No,Low,Weekday,28.55,34.21
4,18,40.1,5,Yes,Low,Weekday,31.81,33.35
6,25,35.6,2,No,Medium,Weekday,37.73,43.32
5,15,3.9,10,No,High,Weekday,30.82,33.23
2,13,5.8,4,Yes,Low,Weekday,20.99,24.03
2,6,22.8,1,No,High,Weekend,13.17,12.21
4,16,10.2,10,No,Medium,Weekend,25.36,35.61
2,7,20.6,5,No,Medium,Weekend,10.74,14.21
2,7,17.0,12,Yes,Medium,Weekend,11.11,13.18
6,11,24.0,11,No,Low,Weekday,16.18,19.87
4,12,32.9,5,Yes,Low,Weekday,22.68,26.15
6,12,31.5,4,Yes,Medium,Weekday,29.96,26.13
6,15,22.8,5,No,Medium,Weekday,27.07,25.92
4,13,36.4,10,No,High,Weekday,22.24,26.26
1,9,18.8,6,Yes,Medium,Weekday,11.76,12.27
6,18,39.8,11,Yes,Low,Weekend,35.18,43.62
5,18,2.7,4,Yes,Medium,Weekday,24.32,28.78
5,25,42.5,0,Yes,Low,Weekday,40.69,44.46
2,9,29.0,7,Yes,Medium,Weekend,11.91,10.84
5,18,16.7,3,Yes,Medium,Weekday,21.5,17.37
2,9,8.5,8,No,High,Weekday,28.83,32.4
1,7,21.2,9,No,Medium,Weekend,18.72,21.63
4,12,8.4,11,No,Medium,Weekday,21.37,25.61
4,17,7.1,5,No,Medium,Weekday,26.3,34.36
4,14,27.5,0,Yes,High,Weekday,26.71,17.6
5,22,23.2,2,No,Low,Weekday,30.07,31.65
1,12,29.9,2,No,Low,Weekend,13.87,16.52
5,12,41.6,9,No,Low,Weekday,28.38,39.2
5,11,23.7,11,No,Low,Weekday,20.34,21.85
1,12,25.9,11,No,Medium,Weekday,12.56,16.48
1,7,3.8,3,No,Medium,Weekday,21.84,26.89
1,10,32.1,5,Yes,Medium,Weekend,23.92,26.08
1,10,17.8,6,No,Low,Weekday,12.05,13.09
4,13,43.8,9,No,Medium,Weekday,20.22,30.86
3,19,36.9,3,No,Medium,Weekday,24.22,26.59
3,5,23.4,5,No,Medium,Weekday,10.29,8.1
1,12,5.4,10,Yes,Medium,Weekend,22.41,27.83
3,5,38.6,0,No,Medium,Weekday,14.18,17.26
3,19,35.9,7,No,Low,Weekday,20.85,28.01
1,6,8.2,6,No,Low,Weekday,11.69,15.53
3,18,13.2,10,No,High,Weekend,24.35,26.35
5,25,35.6,10,Yes,High,Weekday,36.01,33.73
2,12,8.3,8,No,Medium,Weekend,19.69,25.33
2,12,41.3,2,No,Low,Weekday,22.0,27.95
1,9,19.1,1,No,Medium,Weekend,27.86,30.71
4,11,3.9,0,No,Medium,Weekday,27.4,33.27
1,5,36.7,2,No,Medium,Weekday,23.51,25.67
4,10,16.8,4,No,Low,Weekday,19.47,20.25
2,10,23.7,10,Yes,Low,Weekday,15.13,17.12
1,7,5.0,1,No,Medium,Weekend,10.72,15.72
6,11,0.1,11,No,Medium,Weekend,30.63,42.39
5,23,28.7,2,No,Low,Weekday,31.54,35.56
3,12,23.2,3,No,Low,Weekday,18.81,21.38
4,14,26.7,6,No,Medium,Weekday,22.94,27.39
6,24,35.7,12,Yes,High,Weekend,35.93,37.6
3,19,29.1,2,No,High,Weekday,23.1,19.49
3,19,7.9,8,Yes,Medium,Weekday,28.73,30.53
1,5,16.2,7,No,Medium,Weekday,7.53,8.11
3,24,40.8,3,Yes,Low,Weekday,33.84,33.18
5,11,34.6,12,No,Medium,Weekday,25.41,30.2
6,18,25.0,0,No,Medium,Weekday,21.76,23.23
3,10,11.5,0,Yes,Medium,Weekday,20.33,19.44
1,5,13.6,0,No,Medium,Weekend,8.99,8.51
5,10,32.9,0,No,Low,Weekday,20.83,22.32
2,5,38.3,7,Yes,Low,Weekday,12.14,16.13
6,15,30.2,2,No,Medium,Weekday,23.96,22.11
3,6,36.4,5,No,Low,Weekend,16.13,23.69
1,14,34.4,2,No,Low,Weekday,15.7,18.54
2,9,6.6,10,Yes,High,Weekday,19.18,19.43
2,14,19.0,4,Yes,Medium,Weekday,17.63,14.01
4,10,6.8,12,Yes,Medium,Weekday,18.05,24.65
5,10,10.5,12,Yes,High,Weekday,25.33,24.23
3,17,39.0,6,Yes,High,Weekend,23.31,27.05
1,7,21.1,1,No,Medium,Weekend,15.44,19.64
4,19,23.9,5,No,High,Weekday,16.66,18.03
5,17,7.8,12,No,Medium,Weekday,29.88,36.16
4,24,13.8,5,No,Medium,Weekend,31.98,33.41
6,19,10.1,10,Yes,Medium,Weekday,32.66,33.55
5,12,9.0,2,Yes,Medium,Weekend,29.23,34.37
5,14,28.4,5,No,Medium,Weekday,19.49,20.94
3,19,11.3,9,Yes,Medium,Weekend,25.87,26.01
5,19,28.1,9,No,Low,Weekend,20.69,25.48
4,16,2.3,4,No,Medium,Weekend,26.76,36.55
5,17,6.0,11,No,Low,Weekday,28.78,36.18
3,6,12.0,1,No,Medium,Weekday,16.86,14.64
3,23,26.5,8,No,Medium,Weekend,25.57,30.38
6,23,30.0,7,No,Medium,Weekday,33.22,34.31
4,16,19.5,2,No,Medium,Weekday,19.13,22.39
2,8,19.6,7,No,High,Weekday,11.26,12.39
2,15,32.1,8,No,Medium,Weekend,18.73,24.75
5,19,0.2,2,No,Medium,Weekend,25.19,35.27
6,24,14.8,2,No,Medium,Weekday,37.7,38.44
1,15,36.2,1,No,Low,Weekend,20.72,24.39
5,14,26.5,7,No,Low,Weekend,20.62,24.25
6,12,14.5,9,No,Low,Weekday,27.77,33.49
4,10,40.1,0,Yes,Medium,Weekday,24.44,25.39
4,10,34.1,7,No,Medium,Weekday,20.09,23.5
4,12,11.2,6,No,High,Weekday,21.26,23.2
4,19,28.3,6,No,Low,Weekend,27.25,33.9
4,18,26.0,2,Yes,Low,Weekday,26.95,27.84
6,15,17.2,0,No,High,Weekend,30.87,31.11
6,16,15.6,3,No,Low,Weekend,31.08,35.05
3,17,14.5,8,No,Medium,Weekday,24.16,26.39
2,12,26.8,4,No,Medium,Weekend,13.63,17.1
4,22,18.9,0,No,Medium,Weekday,30.86,32.35
1,5,36.4,4,No,Low,Weekend,11.85,15.38
6,19,29.1,12,No,Low,Weekday,29.46,34.97
1,12,2.0,7,Yes,Low,Weekend,19.38,26.06
1,15,27.7,7,No,Medium,Weekday,16.95,18.2
1,12,11.0,4,Yes,Medium,Weekday,20.9,21.63
3,16,25.4,11,No,Low,Weekend,20.65,28.17
6,18,29.3,8,Yes,Medium,Weekday,21.37,19.79
1,10,9.1,0,Yes,High,Weekday,21.88,18.48
4,18,19.2,3,Yes,Low,Weekday,15.72,14.24
5,17,7.2,2,Yes,Medium,Weekend,24.53,31.46
1,9,0.9,1,No,Medium,Weekday,16.0,23.04
3,12,15.5,7,No,Low,Weekday,23.78,25.81
6,14,14.8,6,No,Medium,Weekday,30.59,34.37
3,21,43.2,8,Yes,Medium,Weekday,32.18,37.71
1,13,18.5,1,Yes,High,Weekday,15.32,14.48
6,23,13.3,3,Yes,High,Weekday,35.66,30.78
5,18,24.4,5,Yes,Medium,Weekday,26.69,25.25
1,12,2.2,10,No,Medium,Weekday,18.03,26.01
3,13,41.5,2,Yes,Medium,Weekday,23.76,25.8
2,15,26.7,7,No,Medium,Weekend,18.85,22.4
4,18,32.0,2,Yes,Medium,Weekday,16.69,15.77
3,18,5.7,11,Yes,Low,Weekday,26.52,32.69
6,19,16.4,12,No,Medium,Weekday,22.98,26.58
1,8,16.9,12,No,Medium,Weekday,21.51,26.57
4,18,34.9,1,Yes,Medium,Weekday,30.56,30.08
1,8,-2.1,12,Yes,High,Weekday,20.79,25.02
6,18,11.3,12,No,Low,Weekday,24.84,27.84
1,11,41.9,2,Yes,Medium,Weekday,24.13,24.92
2,12,19.0,10,Yes,Low,Weekday,17.26,17.89
4,19,14.8,5,No,Medium,Weekday,29.58,31.28
4,25,3.0,1,No,Medium,Weekday,35.08,39.21
6,19,41.3,7,No,Medium,Weekday,36.83,45.52
2,13,-1.6,0,No,Medium,Weekend,21.72,30.15
3,25,30.6,6,No,Medium,Weekday,33.01,36.46
1,13,31.9,1,No,Medium,Weekday,16.51,18.82
5,14,8.3,9,No,Medium,Weekend,26.08,36.01
1,9,27.5,11,No,Medium,Weekend,24.61,29.0
1,9,1.4,5,Yes,High,Weekday,30.86,33.37
3,13,8.7,11,No,Low,Weekend,22.33,29.8
1,7,32.5,1,No,Low,Weekend,12.2,14.5
2,5,35.9,1,No,Medium,Weekday,28.23,31.77
2,15,24.3,9,No,High,Weekday,15.45,21.47
4,10,19.7,12,No,Medium,Weekday,18.35,23.29
6,11,4.0,7,Yes,Low,Weekend,26.2,33.12
5,11,-0.4,11,No,Medium,Weekday,27.69,38.26
1,14,2.0,1,Yes,Medium,Weekday,27.61,27.47
1,6,6.9,6,No,Low,Weekend,10.95,17.27
3,21,12.0,2,Yes,Medium,Weekday,26.53,23.15
6,15,13.7,7,No,High,Weekday,31.02,32.73
2,7,12.1,6,Yes,Medium,Weekday,21.07,19.55
5,23,7.2,7,No,Medium,Weekday,34.35,38.0
4,11,19.3,6,No,Medium,Weekend,21.49,23.69
2,12,33.4,10,Yes,Low,Weekday,26.46,29.88
6,10,8.8,5,No,High,Weekend,25.27,28.42
4,25,38.6,12,No,Medium,Weekday,29.56,36.32
3,5,35.4,6,Yes,Medium,Weekday,14.68,18.68
3,21,3.3,4,No,Medium,Weekend,32.23,40.86
1,15,31.4,6,Yes,Medium,Weekday,13.47,16.92
6,22,21.8,0,No,Medium,Weekday,30.95,32.77
5,25,21.4,0,No,Low,Weekday,33.53,35.35
4,21,13.4,8,No,High,Weekend,24.53,25.38
2,11,18.3,4,No,High,Weekday,13.51,12.11
6,21,13.5,12,Yes,Medium,Weekday,36.22,37.03
6,24,19.9,4,Yes,High,Weekday,38.5,30.32
3,13,23.8,2,No,Low,Weekday,19.46,23.65
1,10,25.8,4,No,Medium,Weekend,19.05,23.04
1,14,19.4,2,No,Medium,Weekday,20.09,21.82
4,12,27.8,8,No,Medium,Weekday,22.13,26.92
3,21,1.7,8,No,Medium,Weekday,30.45,35.34
6,11,4.8,5,No,Medium,Weekday,32.15,36.84
5,14,32.0,0,No,Low,Weekend,21.99,26.17
3,17,9.6,6,No,Medium,Weekday,24.41,26.03
4,23,-3.9,6,No,Low,Weekend,34.92,49.9
4,23,1.9,9,Yes,Medium,Weekday,39.85,39.07
3,21,5.0,9,No,Low,Weekday,30.03,37.54
4,17,37.9,3,No,Low,Weekend,27.69,35.73
3,20,20.6,7,No,Medium,Weekday,23.29,27.1
2,12,36.7,5,Yes,Medium,Weekday,17.94,20.54
3,23,20.6,3,No,High,Weekend,21.36,20.72
3,22,16.2,3,No,Medium,Weekday,26.75,25.5
4,10,8.7,1,No,Medium,Weekday,20.83,20.7
4,18,21.8,1,Yes,High,Weekend,21.82,15.99
1,13,0.7,11,Yes,Medium,Weekday,26.63,29.48
1,7,34.8,3,No,Low,Weekday,20.91,28.67
2,7,31.6,4,No,Medium,Weekday,27.34,31.18
1,6,8.5,7,No,High,Weekday,10.17,9.84
3,21,37.0,5,No,Medium,Weekend,26.94,36.62
4,22,31.2,3,Yes,Low,Weekday,29.28,30.31
1,10,24.0,12,No,Low,Weekday,10.33,17.38
1,6,-0.5,10,Yes,Low,Weekday,29.44,35.44
2,8,15.4,6,No,Medium,Weekday,15.03,17.29
6,13,16.6,7,No,Medium,Weekday,19.04,22.5
2,12,4.3,1,No,Low,Weekend,21.42,27.0
3,11,-2.7,11,No,High,Weekday,22.37,29.02
4,11,28.6,6,No,Medium,Weekend,17.93,25.99
2,14,-0.9,1,No,Medium,Weekend,22.17,26.99
1,14,20.3,1,Yes,High,Weekday,14.79,12.84
4,23,35.6,7,No,Low,Weekday,32.43,40.84
4,18,32.9,1,No,Medium,Weekday,28.77,32.4
1,6,5.9,10,Yes,Medium,Weekday,12.62,14.15
2,5,31.6,8,No,High,Weekend,13.25,19.21
1,13,-6.7,11,No,Medium,Weekend,27.68,41.18
6,11,-6.0,0,No,Low,Weekday,32.05,40.13
4,12,20.3,8,No,High,Weekday,21.57,20.76
5,19,9.5,0,No,Low,Weekend,18.95,18.93
5,16,10.4,9,Yes,High,Weekend,19.43,18.13
3,12,18.4,12,Yes,High,Weekday,17.6,16.03
1,12,1.5,9,No,Low,Weekday,19.42,26.5
1,9,2.4,1,No,Medium,Weekday,13.92,19.9
3,7,14.6,5,Yes,Low,Weekend,9.11,9.69
3,23,26.7,5,No,Medium,Weekday,25.23,26.77
3,5,20.6,0,No,Medium,Weekday,8.71,7.64
4,19,6.0,6,No,Medium,Weekday,30.78,33.62
6,12,11.9,7,Yes,High,Weekday,26.32,22.72
1,6,0.2,1,No,Medium,Weekday,9.97,15.02
4,12,-4.2,7,No,Medium,Weekend,23.07,34.54
3,18,27.6,8,No,High,Weekday,26.94,30.19
1,10,4.3,5,No,High,Weekday,21.83,22.26
4,15,0.3,4,No,Low,Weekday,26.72,35.84
6,20,23.4,11,No,High,Weekday,33.3,33.19
4,19,20.0,8,Yes,Low,Weekday,19.05,19.71
6,24,20.6,12,No,High,Weekday,34.31,36.42
3,9,2.4,11,No,Low,Weekday,19.17,26.63
6,25,2.5,10,No,Low,Weekday,38.84,42.69
1,10,1.9,8,Yes,Medium,Weekday,18.19,20.4
3,20,-0.2,0,Yes,Medium,Weekday,30.49,30.8
1,5,21.4,10,No,Medium,Weekend,25.57,29.11
5,11,30.0,2,No,Low,Weekend,23.5,32.02
2,14,24.4,8,No,Medium,Weekday,20.4,24.42
6,11,27.4,10,No,High,Weekday,25.31,29.81
2,5,9.9,1,No,Medium,Weekend,11.3,11.69
2,10,21.1,11,No,Low,Weekday,29.35,35.61
6,23,7.5,3,No,Medium,Weekend,35.08,39.73
3,20,15.2,3,No,Low,Weekend,23.88,31.01
5,23,13.2,1,No,High,Weekday,28.29,29.94
1,8,-0.6,2,Yes,High,Weekday,12.68,15.94
4,22,8.8,12,No,Medium,Weekend,26.06,32.99
1,6,34.8,2,No,Medium,Weekday,13.67,23.1
4,12,2.5,0,Yes,Medium,Weekday,19.81,19.65
1,7,-2.7,5,Yes,Medium,Weekday,22.95,24.13
6,12,10.1,7,No,High,Weekday,24.62,24.2
5,24,26.8,11,Yes,Medium,Weekday,34.22,35.76
4,15,17.4,2,Yes,Medium,Weekend,23.84,24.49
3,14,21.8,4,No,Medium,Weekend,20.65,22.48
1,6,-0.4,0,No,Medium,Weekday,8.27,9.86
1,7,18.9,9,No,High,Weekday,10.84,11.94
4,16,5.6,6,Yes,Medium,Weekday,25.15,24.2
3,24,28.5,9,Yes,Medium,Weekday,27.92,30.44
3,9,19.3,12,No,Low,Weekday,14.82,19.37
6,19,-0.1,0,No,Medium,Weekend,23.21,27.31
6,10,-6.2,11,No,Medium,Weekend,27.13,41.79
6,13,-7.2,10,No,Low,Weekday,32.61,42.17
6,19,7.5,8,No,Low,Weekday,22.74,28.23
6,25,2.7,7,Yes,Medium,Weekday,39.52,38.32
6,16,19.8,6,No,Medium,Weekday,29.03,32.75
5,17,13.2,9,Yes,Medium,Weekday,17.47,16.88
3,24,2.6,6,No,Low,Weekday,30.5,35.13
6,16,-2.6,4,No,Medium,Weekend,32.41,41.08
3,21,-3.7,4,No,Low,Weekday,26.83,33.29
3,14,29.5,10,Yes,Medium,Weekday,21.33,25.03
2,9,1.5,12,Yes,Low,Weekend,25.39,33.38
5,21,19.8,4,No,Low,Weekday,33.77,34.71
6,22,27.0,0,Yes,Low,Weekday,37.35,35.22
1,8,18.1,7,No,Medium,Weekday,24.78,25.73
4,21,29.1,11,Yes,Low,Weekday,31.07,34.59
1,13,8.1,10,No,Medium,Weekend,22.59,27.65
5,13,33.4,0,No,Medium,Weekday,32.42,38.79
4,12,-3.6,3,No,Medium,Weekend,21.84,29.48
5,18,-5.1,8,No,Medium,Weekday,23.86,31.92
3,17,20.0,8,Yes,High,Weekday,22.67,20.0
4,11,32.7,4,Yes,Low,Weekend,23.18,29.72
3,13,26.7,3,No,Medium,Weekday,22.3,26.81
1,15,-6.3,2,No,Low,Weekday,21.05,28.3
1,5,2.8,2,No,Low,Weekday,19.16,24.4
4,11,32.1,11,Yes,Medium,Weekday,21.41,30.06
4,17,1.6,4,Yes,Medium,Weekday,30.09,29.64
6,17,25.3,9,Yes,High,Weekday,23.21,22.51
5,14,27.3,0,No,Medium,Weekday,24.59,28.38
6,15,12.4,4,Yes,High,Weekday,27.26,19.99
5,10,7.5,5,No,Low,Weekend,23.69,29.01
6,22,10.4,6,Yes,Low,Weekday,31.6,29.14
3,25,0.3,11,No,Low,Weekend,30.94,42.04
4,14,30.1,8,No,Low,Weekday,25.5,32.09
1,8,10.4,2,No,Medium,Weekday,7.76,7.84
5,13,29.8,1,No,Medium,Weekend,25.65,29.59
5,10,-5.2,2,No,Low,Weekday,27.2,32.52
1,6,34.5,11,No,High,Weekend,13.4,23.02
6,21,10.0,8,No,High,Weekday,34.93,32.53
5,16,-7.8,11,No,Low,Weekday,25.35,37.94
3,10,-8.3,6,No,Low,Weekday,22.6,30.74
4,16,23.6,8,Yes,Low,Weekday,24.03,26.14
1,5,19.7,12,No,Low,Weekend,25.31,31.56
4,14,26.1,1,Yes,Low,Weekday,26.91,27.54
5,25,-5.3,4,Yes,Medium,Weekend,39.54,41.59
5,10,-8.4,12,No,Low,Weekend,29.64,43.71
1,12,12.9,3,No,Medium,Weekday,12.8,12.43
3,6,7.4,1,No,High,Weekday,16.18,16.19
2,14,10.8,8,No,Medium,Weekend,19.21,24.22
1,9,34.6,8,No,High,Weekend,19.94,26.34
2,7,33.7,5,No,Low,Weekday,31.1,39.32
6,11,32.4,10,Yes,Medium,Weekday,27.03,29.78
2,14,25.3,5,Yes,Medium,Weekday,23.96,25.4
3,17,6.0,7,No,Low,Weekday,23.14,28.3
6,21,8.6,5,Yes,Low,Weekday,35.03,30.86
2,14,14.7,0,Yes,Medium,Weekend,25.06,25.05
6,18,27.4,3,No,Medium,Weekday,30.64,33.25
2,6,-6.9,12,No,Medium,Weekday,12.58,21.75
3,15,9.1,6,No,Medium,Weekday,22.77,24.62
2,5,-6.2,12,No,Medium,Weekday,18.48,30.45
2,6,13.2,12,No,Low,Weekday,22.48,25.7
2,6,30.5,1,Yes,Medium,Weekday,26.32,28.1
1,8,25.3,8,Yes,Low,Weekday,11.31,12.91
1,13,0.3,7,No,Low,Weekday,23.45,27.24
1,8,34.0,7,No,High,Weekday,26.88,31.9
3,15,20.1,6,No,Medium,Weekend,22.23,26.3
6,12,-9.4,3,Yes,Medium,Weekday,31.86,31.0
5,15,1.6,1,No,Medium,Weekday,26.89,30.68
2,8,1.9,2,No,Medium,Weekday,16.56,15.59
2,8,-6.7,11,No,Low,Weekend,29.7,43.18
3,11,33.4,5,No,Low,Weekday,21.08,30.9
2,12,11.7,11,No,Low,Weekday,15.92,23.33
1,7,30.5,11,No,Medium,Weekend,13.73,21.98
5,16,4.7,4,No,Medium,Weekday,21.3,20.6
4,19,-4.1,11,No,Medium,Weekday,31.09,41.01
2,9,11.6,7,No,Medium,Weekday,16.16,19.56
1,5,-4.6,5,No,High,Weekday,13.63,17.97
4,19,12.2,5,No,Low,Weekday,16.44,17.84
5,19,31.8,0,No,Low,Weekend,31.73,39.98
4,24,13.8,3,Yes,Medium,Weekday,28.55,24.65
1,14,18.1,4,No,Medium,Weekend,22.99,26.96
6,11,-2.5,11,No,High,Weekday,24.74,28.69
6,24,-7.6,10,No,Low,Weekend,40.26,55.16
4,15,-4.6,2,No,High,Weekday,30.12,33.68
3,21,17.4,12,No,High,Weekday,25.26,24.11
4,17,-5.2,8,Yes,Low,Weekday,32.21,36.19
2,15,7.5,0,No,Medium,Weekend,21.02,20.61
2,6,15.3,5,No,Medium,Weekday,7.52,9.18
6,13,8.1,5,No,High,Weekday,27.45,23.3
3,6,-2.0,9,No,Low,Weekday,19.57,28.4
1,7,3.0,4,No,Medium,Weekday,23.86,24.43
2,13,32.5,11,No,Medium,Weekday,21.27,26.62
6,13,21.1,4,Yes,Medium,Weekday,26.95,23.73
5,12,13.1,9,No,Medium,Weekday,19.39,24.66
6,21,-8.6,12,No,Medium,Weekday,39.37,51.25
2,5,35.5,4,No,High,Weekday,13.22,16.08
2,15,21.1,5,No,High,Weekday,16.23,14.18
6,12,5.2,7,No,High,Weekday,27.84,26.93
1,14,30.5,1,Yes,Low,Weekday,14.21,20.27
4,11,2.6,5,No,Medium,Weekday,21.46,23.24
2,7,15.5,0,No,Low,Weekday,15.86,15.26
6,12,19.7,3,No,Medium,Weekend,22.99,28.48
6,22,1.0,9,No,Medium,Weekend,35.35,44.4
3,9,35.2,2,Yes,Medium,Weekend,23.22,29.85
4,16,24.8,8,Yes,Medium,Weekday,23.42,22.68
5,16,16.3,2,No,High,Weekday,24.22,22.25
1,10,-0.6,5,No,Low,Weekday,23.66,31.75
5,10,-6.3,0,Yes,Medium,Weekday,27.79,29.69
4,12,5.7,11,No,Medium,Weekday,20.72,26.0
4,16,25.3,5,No,Low,Weekend,23.47,30.63
4,23,3.5,3,No,Low,Weekend,28.14,33.14
5,14,15.7,7,No,High,Weekend,22.1,24.18
4,16,24.3,12,Yes,High,Weekday,28.23,27.35
6,21,-3.6,10,Yes,High,Weekday,33.85,34.46
5,21,22.4,8,No,High,Weekday,31.97,31.45
4,14,-4.2,3,No,Low,Weekday,27.91,32.8
6,21,35.1,9,No,Medium,Weekday,35.75,41.13
3,19,13.7,11,No,Medium,Weekday,20.82,21.75
4,16,-1.4,9,No,Medium,Weekday,30.25,36.29
5,20,7.2,5,No,Medium,Weekday,31.74,32.67
2,8,10.5,0,No,Medium,Weekday,25.83,23.62
4,12,26.1,3,No,Medium,Weekend,21.09,27.28
2,7,25.4,6,No,Medium,Weekday,25.93,27.22
6,21,19.6,11,Yes,Low,Weekend,27.65,28.89
3,9,-3.1,0,No,Medium,Weekday,20.31,25.56
1,12,-1.0,7,Yes,Medium,Weekday,26.83,30.46
3,10,-3.6,11,No,Medium,Weekend,19.95,33.72
4,12,18.2,9,No,Low,Weekday,16.85,21.27
2,14,31.8,11,No,Medium,Weekend,27.81,40.05
2,7,11.9,10,No,Low,Weekday,20.68,22.9
5,19,-0.4,5,Yes,Medium,Weekday,31.86,35.7
2,13,17.6,4,Yes,Medium,Weekday,14.74,10.94
5,17,29.0,9,No,Medium,Weekend,30.09,37.65
6,19,25.9,10,Yes,Low,Weekday,32.4,34.35
1,14,32.3,8,No,Medium,Weekend,20.1,25.97
4,20,5.2,1,No,Medium,Weekday,34.62,34.78
5,11,1.5,4,No,Medium,Weekday,22.76,25.47
1,10,32.4,5,No,Medium,Weekday,26.14,31.01
2,11,22.4,6,Yes,Medium,Weekday,26.59,26.53
2,11,6.9,4,No,Medium,Weekday,19.88,21.61
1,11,26.4,8,No,Low,Weekend,20.87,27.07
2,6,29.7,0,Yes,Low,Weekday,23.83,19.79
6,25,20.7,6,No,Medium,Weekday,37.32,39.82
6,11,24.1,9,Yes,Medium,Weekday,24.8,25.35
1,13,10.1,6,No,Medium,Weekday,13.79,13.04
5,23,17.5,3,No,Low,Weekday,32.75,35.19
5,20,16.9,8,Yes,Low,Weekday,27.24,27.21
1,12,31.5,11,No,Medium,Weekday,17.33,25.34
5,22,31.2,10,No,Low,Weekday,34.0,40.73
5,22,31.0,4,No,Medium,Weekday,29.18,32.06
