Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption,High_Usage,Efficiency_Category
5,21,39.21,7,0.65,3.17,Weekend,198.95,359.44,0,Low
2,22,34.97,6,0.62,4.74,Weekend,426.85,420.1,1,Medium
2,10,22.32,2,0.33,5.86,Weekend,189.44,237.96,0,Low
4,23,39.5,1,0.93,4.96,Weekend,278.38,353.26,0,Low
2,8,30.05,6,0.84,3.95,Weekend,230.56,218.13,0,Low
2,5,29.56,2,0.22,8.1,Weekend,434.79,350.16,0,Low
6,12,33.7,2,0.24,8.69,Weekend,244.36,390.74,0,Low
4,11,35.29,1,0.51,4.8,Weekend,223.74,281.33,0,Low
6,7,31.41,3,0.77,8.42,Weekday,360.42,345.5,0,Low
6,14,18.2,7,0.04,5.7,Weekday,321.1,462.77,1,Medium
4,14,23.46,11,0.69,6.55,Weekend,98.26,252.56,0,Low
1,23,38.2,0,0.65,8.99,Weekend,278.68,339.16,0,Low
6,18,20.62,0,0.23,8.25,Weekday,380.97,440.51,1,Medium
5,6,24.3,11,0.68,8.64,Weekend,496.43,424.31,1,Medium
5,5,25.8,4,0.94,3.96,Weekday,333.12,300.1,0,Low
2,22,25.99,10,0.05,3.49,Weekday,216.63,385.84,0,Low
5,11,30.32,4,0.32,9.25,Weekday,151.77,322.77,0,Low
2,12,38.58,10,0.44,5.71,Weekend,442.77,430.59,1,Medium
1,5,21.02,11,0.9,5.02,Weekend,416.55,289.44,0,Low
4,7,18.04,0,0.96,8.07,Weekend,155.27,101.43,0,Low
4,12,19.94,5,0.44,8.85,Weekday,140.28,263.81,0,Low
4,19,37.17,0,0.75,9.04,Weekday,371.81,388.88,0,Low
5,9,31.15,4,0.53,5.21,Weekday,191.73,308.38,0,Low
1,7,22.15,8,0.54,8.97,Weekend,187.88,180.4,0,Low
5,23,35.4,11,0.28,3.29,Weekday,118.53,369.93,0,Low
5,5,36.53,4,0.22,3.35,Weekday,168.79,319.78,0,Low
1,19,36.16,5,0.29,7.36,Weekend,242.38,305.64,0,Low
1,12,37.97,7,0.56,3.44,Weekday,379.78,347.81,0,Low
1,6,21.31,10,0.03,5.27,Weekday,201.34,235.35,0,Low
1,7,33.88,0,0.91,7.71,Weekend,197.87,161.07,0,Low
4,18,26.51,1,0.16,5.36,Weekend,178.21,342.58,0,Low
3,18,36.05,8,0.22,4.26,Weekday,265.23,390.97,0,Low
3,15,33.21,2,0.52,4.97,Weekend,131.29,262.57,0,Low
1,20,34.41,5,0.71,6.2,Weekday,268.53,321.28,0,Low
3,8,31.4,4,0.1,6.33,Weekend,366.88,371.49,0,Low
3,24,19.44,10,0.32,8.48,Weekday,63.41,266.17,0,Low
1,9,28.63,1,0.97,8.25,Weekend,54.4,112.48,0,Low
3,18,39.62,6,0.26,6.2,Weekday,83.81,307.18,0,Low
5,20,38.43,3,0.31,8.92,Weekend,291.05,452.0,1,Medium
2,22,16.08,0,0.84,3.8,Weekend,434.5,341.52,0,Low
2,11,19.12,3,0.05,4.79,Weekend,52.2,161.5,0,Low
1,14,18.29,5,0.46,8.8,Weekend,471.5,339.4,0,Low
4,11,33.15,6,0.38,5.65,Weekend,97.83,276.87,0,Low
1,5,35.44,6,0.32,9.87,Weekend,428.89,316.42,0,Low
4,23,20.34,6,0.29,6.26,Weekend,267.28,380.43,0,Low
2,20,27.65,2,0.09,8.54,Weekday,346.71,378.0,0,Low
1,23,36.02,5,0.31,5.82,Weekday,279.81,394.18,0,Low
6,8,33.32,7,0.04,5.97,Weekend,264.67,423.22,1,Medium
5,22,28.56,3,0.78,5.68,Weekend,425.7,466.35,1,Medium
3,6,29.76,7,0.4,8.03,Weekday,390.15,361.57,0,Low
4,5,27.71,1,0.44,6.83,Weekday,267.53,279.62,0,Low
6,19,22.44,9,0.89,9.61,Weekend,100.24,273.34,0,Low
3,9,29.13,8,0.66,4.76,Weekday,101.93,199.29,0,Low
3,24,32.22,8,0.01,3.7,Weekday,410.69,566.7,1,Medium
1,15,36.83,7,0.94,5.75,Weekend,288.23,299.75,0,Low
3,14,30.91,9,0.24,7.32,Weekend,266.72,346.77,0,Low
5,6,34.03,9,0.11,9.03,Weekend,356.26,488.01,1,Medium
6,7,19.0,0,0.77,5.42,Weekday,436.48,345.14,0,Low
3,16,26.54,1,0.5,7.58,Weekend,332.99,346.54,0,Low
1,24,15.23,5,0.43,5.45,Weekend,393.28,378.12,0,Low
5,9,21.17,9,0.25,7.32,Weekday,394.37,385.94,0,Low
2,9,33.16,4,0.55,9.19,Weekend,210.32,234.09,0,Low
6,10,39.8,11,0.27,4.62,Weekday,173.34,426.03,1,Medium
3,13,17.48,8,0.9,5.83,Weekday,410.52,320.2,0,Low
1,6,25.04,4,0.22,9.95,Weekday,219.73,248.96,0,Low
2,16,35.0,1,0.88,9.08,Weekday,456.5,360.18,0,Low
2,7,20.1,9,0.56,6.95,Weekday,81.36,154.08,0,Low
4,24,28.88,3,0.83,6.62,Weekday,76.2,289.45,0,Low
5,16,33.33,8,0.71,4.99,Weekend,467.15,483.32,1,Medium
3,21,30.4,0,0.7,6.62,Weekend,341.8,350.2,0,Low
1,14,19.7,10,0.32,8.94,Weekend,220.82,253.84,0,Low
4,18,23.88,0,0.23,7.8,Weekday,389.78,401.69,0,Medium
5,21,34.59,11,0.21,5.03,Weekend,352.55,532.88,1,Medium
4,22,28.86,6,0.86,4.41,Weekday,289.04,374.41,0,Low
6,23,15.13,10,0.82,4.86,Weekend,94.49,262.66,0,Low
5,21,34.02,2,0.44,4.19,Weekday,415.48,480.54,1,Medium
5,18,15.88,9,0.13,3.67,Weekend,439.71,479.16,1,Medium
3,13,33.64,1,0.38,5.93,Weekday,127.48,261.98,0,Low
5,12,20.06,8,0.62,3.79,Weekend,432.73,394.47,0,Low
4,6,38.95,2,0.45,4.2,Weekday,445.03,434.32,1,Medium
5,17,24.2,1,0.78,6.83,Weekend,297.24,332.19,0,Low
3,11,23.17,11,1.0,4.15,Weekday,345.28,308.62,0,Low
3,13,18.72,7,0.19,3.45,Weekend,222.01,285.47,0,Low
6,15,22.64,9,0.46,5.22,Weekend,176.81,326.64,0,Low
4,18,36.92,5,0.43,4.54,Weekend,374.89,498.36,1,Medium
2,8,39.91,5,0.3,6.61,Weekday,437.84,444.65,1,Medium
2,17,24.21,9,0.2,3.72,Weekday,344.33,384.4,0,Low
5,6,26.22,10,0.07,8.26,Weekday,280.22,412.43,1,Medium
6,9,33.05,6,0.89,9.34,Weekday,121.52,284.16,0,Low
1,15,37.15,6,0.42,8.2,Weekday,74.06,212.98,0,Low
5,10,29.83,10,0.5,6.73,Weekend,250.56,340.27,0,Low
6,22,24.79,5,0.92,9.02,Weekday,72.21,281.85,0,Low
4,14,25.32,3,0.78,7.86,Weekend,306.2,318.26,0,Low
4,8,32.39,10,0.13,3.07,Weekend,222.23,347.24,0,Low
4,13,15.08,8,0.57,5.76,Weekday,390.74,375.03,0,Low
4,10,30.49,5,0.44,8.96,Weekend,187.54,262.39,0,Low
4,6,23.89,3,0.8,5.42,Weekday,316.84,274.39,0,Low
6,21,34.85,11,0.72,3.25,Weekday,291.96,422.75,1,Medium
6,9,17.32,2,0.69,8.22,Weekday,52.12,157.9,0,Low
3,10,29.71,3,0.34,8.61,Weekend,82.58,204.28,0,Low
2,16,27.02,2,0.8,4.12,Weekday,180.67,226.66,0,Low
4,14,31.06,1,0.05,6.76,Weekday,447.01,452.18,1,Medium
1,10,16.62,4,0.16,4.34,Weekday,116.16,153.58,0,Low
6,12,29.5,1,0.34,8.03,Weekend,369.9,432.99,1,Medium
1,6,29.04,5,0.08,4.9,Weekday,488.01,422.98,1,Medium
1,16,29.02,2,0.23,5.21,Weekend,405.76,387.72,0,Low
1,17,30.09,5,0.83,8.91,Weekend,159.33,247.97,0,Low
3,11,31.91,10,0.95,6.33,Weekday,458.76,413.29,1,Medium
6,14,35.12,9,0.3,7.69,Weekend,91.9,337.56,0,Low
1,17,21.75,8,0.26,5.82,Weekend,260.66,319.22,0,Low
4,21,35.63,0,0.28,5.09,Weekday,449.39,486.75,1,Medium
5,18,27.46,5,0.28,7.38,Weekday,338.57,454.91,1,Medium
1,6,16.93,8,0.04,4.08,Weekday,236.14,245.02,0,Low
3,15,16.46,10,0.93,5.61,Weekend,181.77,206.49,0,Low
6,5,23.36,3,0.21,4.46,Weekday,218.79,342.94,0,Low
3,23,34.62,10,0.42,7.87,Weekend,279.02,422.73,1,Medium
1,8,32.69,11,0.01,9.61,Weekend,193.57,284.58,0,Low
6,23,34.72,1,0.86,9.97,Weekend,486.04,490.21,1,Medium
5,15,27.93,3,0.73,6.15,Weekend,469.88,419.33,1,Medium
1,12,26.0,0,0.95,4.77,Weekend,441.8,263.87,0,Low
3,15,18.69,2,0.78,6.1,Weekday,239.82,231.43,0,Low
2,8,23.2,9,0.31,8.93,Weekday,361.09,342.61,0,Low
4,21,25.85,8,0.25,4.44,Weekend,456.27,498.97,1,Medium
3,11,17.22,9,0.7,9.66,Weekend,432.69,340.24,0,Low
6,12,20.52,4,0.36,5.39,Weekday,236.45,369.7,0,Low
1,7,29.96,10,0.57,9.9,Weekday,100.57,137.95,0,Low
4,6,33.39,5,0.01,8.87,Weekend,84.03,277.31,0,Low
1,19,39.96,2,0.06,8.66,Weekend,309.68,388.86,0,Low
6,9,38.33,4,0.54,5.23,Weekday,339.18,392.18,0,Low
1,5,31.06,10,0.57,3.06,Weekday,432.43,344.68,0,Low
2,8,25.53,7,0.75,5.67,Weekend,181.63,196.01,0,Low
4,19,30.9,5,0.13,5.11,Weekday,125.36,362.32,0,Low
4,24,34.64,3,0.51,3.26,Weekday,220.55,392.56,0,Low
6,23,17.96,1,0.19,6.54,Weekend,209.11,416.56,1,Medium
2,7,25.25,8,0.09,5.82,Weekend,109.61,218.89,0,Low
3,24,36.0,11,0.41,7.44,Weekend,352.53,495.2,1,Medium
1,15,24.6,0,0.16,7.35,Weekday,278.91,268.94,0,Low
5,21,29.3,0,0.22,3.85,Weekend,374.51,455.94,1,Medium
1,17,29.69,3,0.32,9.84,Weekday,208.71,269.12,0,Low
1,15,19.61,6,0.26,4.31,Weekend,196.57,262.16,0,Low
3,6,24.06,0,0.09,6.12,Weekend,262.66,296.08,0,Low
1,13,23.36,8,0.09,6.42,Weekday,444.83,382.48,0,Low
2,6,15.65,3,0.19,8.69,Weekday,68.13,157.18,0,Low
2,13,15.6,2,0.05,3.69,Weekend,412.17,353.28,0,Low
4,13,35.79,0,0.63,6.0,Weekend,216.04,281.05,0,Low
6,12,21.83,9,0.29,7.4,Weekday,434.58,469.54,1,Medium
5,21,27.95,3,0.28,4.51,Weekend,410.99,448.81,1,Medium
1,5,22.47,8,0.33,7.39,Weekday,206.94,233.51,0,Low
1,15,38.52,9,0.66,9.47,Weekday,362.24,360.57,0,Low
3,12,21.48,5,0.87,9.98,Weekend,121.83,177.68,0,Low
6,14,25.74,5,0.76,3.23,Weekday,453.33,436.14,1,Medium
2,11,36.82,0,0.73,4.65,Weekday,232.02,281.41,0,Low
5,7,36.05,9,0.48,5.17,Weekday,255.03,389.04,0,Low
4,7,19.65,1,0.69,5.79,Weekend,367.59,319.76,0,Low
2,22,35.07,10,0.55,4.7,Weekday,419.38,448.2,1,Medium
6,9,26.45,5,0.22,4.42,Weekend,156.35,298.21,0,Low
4,16,27.07,1,0.21,9.68,Weekend,347.61,397.7,0,Low
3,16,18.34,2,0.3,9.43,Weekend,226.4,292.51,0,Low
3,23,17.02,3,0.91,3.33,Weekday,215.92,271.27,0,Low
1,10,33.2,10,0.55,5.37,Weekday,360.51,341.08,0,Low
6,6,27.41,4,0.73,5.84,Weekend,224.23,266.82,0,Low
5,16,25.92,8,0.35,4.67,Weekend,205.75,346.93,0,Low
4,23,33.24,11,0.41,7.4,Weekday,426.15,498.27,1,Medium
2,9,34.14,3,0.13,7.48,Weekend,95.57,244.99,0,Low
6,16,18.97,10,0.17,8.95,Weekend,354.15,468.26,1,Medium
6,21,30.26,8,0.83,8.19,Weekday,161.93,359.64,0,Low
3,21,18.38,10,0.58,6.8,Weekend,56.97,236.65,0,Low
1,14,33.78,9,0.34,7.58,Weekday,125.04,214.68,0,Low
1,21,31.42,2,0.8,4.92,Weekday,323.0,274.24,0,Low
4,19,38.92,7,0.25,7.15,Weekend,369.11,476.51,1,Medium
3,16,16.72,11,0.98,6.42,Weekday,59.48,167.86,0,Low
6,20,16.43,0,0.34,3.93,Weekday,66.39,293.56,0,Low
5,23,22.05,10,0.34,4.7,Weekday,456.14,516.78,1,Medium
3,12,21.54,8,0.31,5.04,Weekend,82.99,207.6,0,Low
4,21,21.17,8,0.12,9.47,Weekend,452.38,507.94,1,Medium
4,9,37.66,9,0.11,4.61,Weekend,152.67,338.97,0,Low
3,20,21.24,1,0.65,5.02,Weekday,383.01,346.18,0,Low
4,10,21.8,3,0.88,5.59,Weekday,189.38,181.8,0,Low
3,12,33.98,7,0.79,7.65,Weekend,436.44,390.86,0,Low
2,22,26.24,6,0.14,3.83,Weekend,365.2,425.9,1,Medium
3,16,34.42,0,0.55,9.68,Weekday,230.82,283.75,0,Low
3,19,16.63,4,0.11,9.06,Weekend,84.34,266.95,0,Low
4,13,27.19,6,0.05,7.04,Weekend,379.72,448.53,1,Medium
4,17,15.84,3,0.66,7.72,Weekend,327.6,323.3,0,Low
1,19,16.57,0,0.54,3.12,Weekend,51.31,136.6,0,Low
1,14,37.66,8,0.08,5.37,Weekend,54.24,273.02,0,Low
2,20,18.48,4,0.03,8.57,Weekday,413.96,422.77,1,Medium
1,11,28.31,10,0.99,3.54,Weekend,166.73,170.25,0,Low
3,21,25.28,1,0.03,4.98,Weekend,336.26,406.02,1,Medium
4,11,23.68,7,0.44,7.1,Weekday,254.4,328.38,0,Low
1,18,37.5,10,0.5,4.79,Weekday,438.54,391.12,0,Low
1,19,15.55,1,0.12,9.54,Weekday,462.63,366.33,0,Low
2,11,31.59,2,0.17,3.92,Weekday,498.56,443.69,1,Medium
6,13,39.08,9,0.35,8.58,Weekend,119.16,387.0,0,Low
2,23,29.0,0,0.76,6.56,Weekend,438.33,405.59,1,Medium
3,20,38.42,10,0.51,8.25,Weekend,169.71,366.98,0,Low
4,12,16.31,1,0.64,5.18,Weekend,315.87,289.46,0,Low
2,22,25.47,6,0.99,6.6,Weekday,277.6,269.63,0,Low
1,22,21.5,9,0.77,9.0,Weekday,58.09,178.61,0,Low
4,24,33.27,1,0.43,6.27,Weekend,469.75,455.82,1,Medium
4,11,39.53,5,0.45,5.52,Weekend,85.25,297.23,0,Low
1,7,21.41,2,0.62,6.75,Weekend,359.7,228.74,0,Low
2,22,31.35,3,0.67,8.02,Weekend,403.25,380.01,0,Low
1,14,19.95,10,0.5,6.1,Weekday,407.88,364.96,0,Low
6,11,29.13,7,0.64,9.57,Weekend,110.97,249.58,0,Low
4,21,26.6,2,0.02,5.06,Weekday,251.41,372.72,0,Low
5,18,39.3,9,0.43,6.33,Weekday,423.24,517.88,1,Medium
5,7,30.21,5,0.28,8.3,Weekday,186.21,321.14,0,Low
3,16,23.74,0,0.13,7.82,Weekday,260.49,327.03,0,Low
1,17,17.85,6,0.1,9.05,Weekend,172.76,258.15,0,Low
1,6,18.78,7,0.6,9.98,Weekend,258.6,229.01,0,Low
3,7,20.63,10,0.52,5.99,Weekend,449.53,382.38,0,Low
3,9,21.27,7,0.25,3.78,Weekend,254.81,309.24,0,Low
3,15,36.27,2,0.47,3.21,Weekday,300.16,370.4,0,Low
4,12,29.03,9,0.49,8.09,Weekday,231.79,323.97,0,Low
6,16,28.08,0,0.2,9.12,Weekday,257.05,436.23,1,Medium
1,11,17.87,8,0.65,4.54,Weekend,56.83,77.87,0,Low
4,19,36.5,5,0.78,4.11,Weekday,177.69,344.5,0,Low
3,21,33.07,10,0.79,3.44,Weekday,246.46,366.48,0,Low
1,8,16.69,8,0.6,8.76,Weekday,335.21,254.64,0,Low
4,17,32.7,6,0.51,5.18,Weekday,252.52,363.96,0,Low
6,22,28.59,0,0.06,5.81,Weekend,202.02,407.67,1,Medium
4,5,17.04,11,0.29,6.52,Weekday,224.64,305.51,0,Low
6,20,26.46,11,0.09,8.88,Weekday,159.03,413.1,1,Medium
3,17,27.12,0,0.96,7.56,Weekend,466.02,348.81,0,Low
6,14,19.14,5,0.14,7.31,Weekend,284.78,413.85,1,Medium
1,16,38.64,4,0.15,4.23,Weekend,56.03,276.63,0,Low
3,6,36.25,8,0.89,6.59,Weekday,58.75,132.58,0,Low
1,7,31.73,1,0.94,8.01,Weekday,487.83,351.25,0,Low
5,14,26.56,7,0.77,9.81,Weekday,149.65,254.77,0,Low
2,6,25.29,10,0.01,4.41,Weekday,412.52,371.92,0,Low
6,17,31.27,4,0.0,3.07,Weekend,76.22,328.02,0,Low
2,17,28.64,1,0.38,3.53,Weekday,464.52,409.2,1,Medium
2,22,16.56,9,0.14,5.63,Weekday,443.49,417.83,1,Medium
6,7,27.81,10,0.02,8.74,Weekend,306.99,406.76,1,Medium
3,11,35.16,10,0.46,3.05,Weekend,54.05,227.73,0,Low
5,18,26.48,11,0.94,6.2,Weekend,166.01,305.21,0,Low
1,24,16.3,5,0.32,5.3,Weekday,233.07,298.13,0,Low
4,21,34.66,9,0.66,3.37,Weekday,257.03,412.32,1,Medium
1,16,20.03,7,0.65,6.15,Weekday,183.96,239.43,0,Low
4,20,21.47,3,0.25,4.78,Weekday,64.83,284.32,0,Low
1,16,19.12,1,0.65,5.46,Weekday,315.56,248.91,0,Low
6,19,23.26,11,0.21,7.94,Weekend,285.87,413.89,1,Medium
5,14,33.92,10,0.12,6.65,Weekend,177.35,351.17,0,Low
4,11,27.98,4,0.7,3.87,Weekday,67.09,218.84,0,Low
3,24,20.12,11,0.11,9.73,Weekday,497.57,539.02,1,Medium
1,9,36.95,1,1.0,7.45,Weekday,266.89,200.96,0,Low
1,5,36.99,1,0.18,8.36,Weekday,390.2,308.26,0,Low
4,21,36.76,5,0.59,3.55,Weekday,253.54,362.11,0,Low
3,7,20.97,10,0.41,3.33,Weekend,69.43,195.12,0,Low
3,17,26.28,9,0.13,3.14,Weekend,189.32,345.03,0,Low
6,18,39.62,8,0.03,4.32,Weekend,194.05,475.74,1,Medium
6,22,34.3,3,0.62,5.9,Weekday,427.26,487.52,1,Medium
6,8,15.68,5,0.81,9.55,Weekday,344.4,313.36,0,Low
6,22,16.63,6,0.84,6.2,Weekend,173.94,329.37,0,Low
6,9,26.6,10,0.48,5.03,Weekend,485.48,437.04,1,Medium
6,20,37.73,5,0.78,6.93,Weekday,194.69,378.88,0,Low
5,5,28.47,7,0.67,3.78,Weekend,499.21,414.33,1,Medium
3,18,27.45,3,0.72,7.27,Weekend,498.27,435.74,1,Medium
6,19,17.64,11,0.49,6.98,Weekday,136.04,341.19,0,Low
3,13,31.42,0,0.63,8.54,Weekend,190.73,237.7,0,Low
3,19,35.55,6,0.81,9.91,Weekend,268.72,328.86,0,Low
2,21,24.51,2,0.4,4.76,Weekend,348.85,314.92,0,Low
5,8,34.39,5,0.81,6.57,Weekday,287.62,340.98,0,Low
6,16,39.11,1,0.59,9.36,Weekend,486.25,510.25,1,Medium
1,9,20.09,8,0.17,8.5,Weekend,375.8,356.14,0,Low
4,9,28.08,0,0.02,6.41,Weekend,145.42,271.96,0,Low
1,15,22.18,5,0.36,9.62,Weekday,97.29,212.47,0,Low
5,10,34.82,5,0.55,3.4,Weekday,359.78,377.95,0,Low
4,11,29.44,4,0.84,9.52,Weekend,121.3,161.87,0,Low
5,18,30.86,4,0.13,3.35,Weekday,404.45,485.91,1,Medium
3,15,34.95,0,0.8,6.83,Weekend,189.97,243.5,0,Low
4,17,24.9,9,0.86,9.23,Weekday,197.1,267.23,0,Low
3,6,37.88,11,0.15,4.84,Weekday,54.86,278.03,0,Low
1,11,28.33,4,0.85,6.31,Weekend,365.46,297.88,0,Low
1,24,18.95,1,0.99,5.27,Weekend,100.97,154.44,0,Low
4,8,32.4,6,0.73,9.67,Weekend,397.8,363.45,0,Low
4,12,34.83,2,0.78,8.77,Weekday,271.34,311.41,0,Low
6,24,22.92,3,0.99,7.96,Weekend,402.93,410.17,1,Medium
5,23,36.43,2,0.61,7.11,Weekday,312.77,438.93,1,Medium
6,17,37.65,2,0.31,8.74,Weekday,87.09,307.71,0,Low
5,18,21.92,3,0.84,5.75,Weekend,394.54,359.57,0,Low
6,14,39.59,4,0.61,6.13,Weekday,81.41,288.65,0,Low
3,15,18.52,0,0.58,8.11,Weekend,265.42,276.1,0,Low
4,6,20.05,3,0.25,5.5,Weekday,127.56,214.88,0,Low
1,13,19.61,11,0.76,3.45,Weekend,388.55,333.31,0,Low
5,21,37.35,11,0.08,3.52,Weekday,460.22,599.23,1,Medium
5,7,31.36,10,0.92,3.81,Weekday,299.36,310.74,0,Low
1,10,18.8,7,0.33,9.09,Weekend,287.22,277.68,0,Low
6,9,26.01,9,0.13,6.31,Weekday,393.78,454.76,1,Medium
5,9,30.38,6,0.44,7.99,Weekend,52.29,251.75,0,Low
3,19,17.09,8,0.04,5.75,Weekday,462.99,482.8,1,Medium
4,21,37.06,4,0.68,4.81,Weekday,138.85,335.9,0,Low
1,13,35.09,9,0.9,5.43,Weekday,492.85,386.74,0,Low
4,7,27.63,3,0.84,8.56,Weekend,381.31,348.55,0,Low
5,24,39.18,7,0.13,7.38,Weekend,398.41,560.57,1,Medium
5,21,25.44,8,0.13,9.56,Weekend,345.29,475.67,1,Medium
1,14,39.6,6,0.81,7.76,Weekend,262.25,276.87,0,Low
3,7,31.7,6,0.92,6.99,Weekend,307.23,263.09,0,Low
2,22,30.87,4,0.46,7.27,Weekday,70.88,256.45,0,Low
1,22,19.15,3,0.5,9.6,Weekday,330.78,316.86,0,Low
2,21,37.05,9,0.32,8.52,Weekend,331.74,431.24,1,Medium
6,7,25.69,0,0.89,3.17,Weekday,451.04,378.2,0,Low
2,7,19.06,9,0.64,6.74,Weekday,277.55,248.09,0,Low
3,10,15.32,9,0.29,7.82,Weekday,84.71,245.58,0,Low
6,17,28.99,6,0.3,8.24,Weekday,187.79,369.31,0,Low
